inhalationTime,inhalationFrequency,exhalationTime,exhalationFrequency
2.602,1.152516327314637,3.122,1.2808197246237591
2.009,1.4925373134328357,,
3.665,1.3638843426077467,2.504,1.1976047904191618
2.404,1.2474012474012472,2.731,1.09809663250366
3.044,1.3136288998357963,,
0.999,2.0,1.269,1.574803149606299
1.182,0.8453085376162299,1.133,0.8818342151675485
1.18,0.8467400508044031,1.128,0.8857395925597874
2.441,1.2285012285012282,2.08,1.4416146083613648
1.505,1.3280212483399734,2.079,1.442307692307692
2.946,1.3573125212080082,1.963,1.5274949083503055
,,2.796,1.4301036825169824
3.025,1.3218770654329146,2.85,1.403016485443704
,,2.082,1.440230436869899
4.138,1.449625513409036,2.414,1.2422360248447204
,,1.292,1.5467904098994587
2.196,1.3654984069185252,2.267,0.4409171075837742
1.517,1.3175230566534915,1.567,1.2755102040816326
3.706,1.6185594820609657,2.691,1.4858841010401187
2.6,1.5337423312883436,2.0,1.4940239043824701
,,2.984,1.6711229946524064
3.064,1.6276041666666665,1.856,1.6094420600858368
4.352,2.5229357798165135,2.576,2.3219814241486065
3.288,1.5169902912621358,,
2.112,1.4150943396226414,2.84,1.75561797752809
3.192,1.5625,,
4.944,1.4135702746365106,,
3.04,2.952755905511811,5.944,3.0241935483870965
,,8.096,1.7275419545903257
3.344,1.1933174224343677,,
2.576,1.547987616099071,5.656,1.4124293785310735
3.112,1.6025641025641024,1.664,1.7942583732057416
1.784,0.5580357142857143,2.312,1.7241379310344829
2.352,1.6949152542372883,1.528,1.3020833333333333
1.832,1.6304347826086956,1.68,1.7772511848341233
1.248,1.5923566878980893,,
2.504,1.194267515923567,5.288,1.132930513595166
,,6.192,1.7741935483870968
2.136,1.3992537313432836,3.16,1.2626262626262625
3.0,2.992021276595745,1.968,1.5182186234817814
,,2.704,1.4749262536873156
1.432,1.3888888888888888,0.744,1.3297872340425532
2.448,0.40716612377850164,2.272,0.43859649122807015
,,2.144,1.3940520446096654
2.128,1.4044943820224718,1.664,1.1961722488038278
1.688,1.768867924528302,2.112,1.4150943396226414
2.672,1.8656716417910446,1.96,2.032520325203252
,,2.808,1.775568181818182
2.472,1.2096774193548387,1.92,1.5560165975103737
,,3.352,1.4880952380952381
2.536,1.9654088050314464,5.496,2.1802325581395348
1.432,0.6944444444444444,1.632,1.2195121951219512
1.512,1.3157894736842106,0.656,1.506024096385542
1.168,1.7006802721088436,1.808,1.6519823788546253
2.0,1.9920318725099602,2.688,2.2255192878338277
3.216,2.1712158808933,,
3.44,0.580046403712297,1.64,0.6067961165048543
,,2.992,1.3333333333333333
2.24,1.779359430604982,7.296,3.0120481927710845
1.976,0.5040322580645161,2.616,0.38109756097560976
2.408,1.6556291390728477,1.872,1.5957446808510638
2.728,1.461988304093567,2.088,1.4312977099236641
2.864,1.392757660167131,2.008,1.4880952380952381
,,2.8,1.4245014245014245
3.312,1.506024096385542,3.8,1.3130252100840334
4.656,2.1440823327615783,1.6,1.243781094527363
4.544,1.3181019332161685,2.488,1.6025641025641026
3.072,1.6233766233766234,,
2.24,2.669039145907473,7.128,2.382286995515695
5.824,1.5432098765432098,2.392,1.6666666666666667
0.92,1.0775862068965516,1.224,0.8116883116883117
1.44,1.3812154696132597,1.76,0.5656108597285068
1.4,1.4204545454545456,1.2,0.8278145695364238
,,3.904,1.278118609406953
1.92,1.5560165975103737,2.456,1.2175324675324675
3.216,1.2406947890818858,,
,,6.864,2.7648428405122236
2.384,1.6722408026755853,5.64,1.41643059490085
,,6.784,3.0918727915194344
2.784,2.148997134670487,6.656,2.250900360144058
2.456,3.6525974025974026,4.112,3.6407766990291264
,,5.88,2.8872282608695654
,,7.048,3.684807256235828
3.776,2.9069767441860463,1.728,2.8801843317972353
1.704,1.1682242990654206,1.872,1.0638297872340425
1.776,1.1210762331838564,1.968,1.5182186234817814
2.712,1.4705882352941175,,
,,6.92,3.7528868360277134
,,6.88,3.1939605110336817
